17\06\1999,1.5939,1.588,1.5966,1.5853,0.35
18\06\1999,1.5968,1.5925,1.6004,1.5898,0.18
21\06\1999,1.5912,1.594,1.5962,1.5845,-0.35
22\06\1999,1.591,1.5903,1.594,1.585,-0.01
23\06\1999,1.5808,1.5908,1.592,1.5755,-0.64
24\06\1999,1.5877,1.5803,1.5903,1.5736,0.44
25\06\1999,1.5875,1.5865,1.5941,1.585,-0.01
28\06\1999,1.5823,1.5834,1.5873,1.5794,-0.33
29\06\1999,1.5726,1.5817,1.5838,1.572,-0.61
30\06\1999,1.5775,1.5725,1.5787,1.5719,0.31
01\07\1999,1.5722,1.578,1.5825,1.5717,-0.34
02\07\1999,1.5787,1.573,1.58,1.569,0.41
05\07\1999,1.5745,1.577,1.5787,1.5735,-0.27
06\07\1999,1.5619,1.5743,1.5762,1.5585,-0.8
07\07\1999,1.56,1.5623,1.564,1.555,-0.12
08\07\1999,1.5582,1.557,1.5613,1.5526,-0.12
09\07\1999,1.5487,1.5577,1.5615,1.547,-0.61
12\07\1999,1.5574,1.5495,1.5585,1.548,0.56
13\07\1999,1.5579,1.5571,1.5595,1.5531,0.03
14\07\1999,1.5642,1.5572,1.5652,1.5505,0.4
15\07\1999,1.5655,1.5637,1.5708,1.5621,0.08
16\07\1999,1.5625,1.5648,1.5703,1.561,-0.19
19\07\1999,1.5811,1.5627,1.583,1.5568,1.19
20\07\1999,1.5725,1.5801,1.5823,1.5674,-0.54
21\07\1999,1.5787,1.571,1.5806,1.5692,0.39
22\07\1999,1.582,1.5784,1.588,1.5735,0.21
23\07\1999,1.5785,1.582,1.5861,1.575,-0.22
26\07\1999,1.5905,1.579,1.5947,1.579,0.76
27\07\1999,1.5907,1.59,1.5947,1.587,0.01
28\07\1999,1.597,1.5904,1.5987,1.5838,0.4
29\07\1999,1.6178,1.597,1.6215,1.5955,1.3
30\07\1999,1.6215,1.6163,1.6255,1.612,0.23
02\08\1999,1.616,1.6203,1.6211,1.6125,-0.34
03\08\1999,1.6201,1.6161,1.6243,1.613,0.25
04\08\1999,1.62,1.62,1.6292,1.6174,-0.01
05\08\1999,1.6134,1.6198,1.6218,1.6118,-0.41
06\08\1999,1.6084,1.613,1.62,1.6073,-0.31
09\08\1999,1.6072,1.6085,1.6105,1.6005,-0.07
10\08\1999,1.615,1.6065,1.6195,1.6041,0.49
11\08\1999,1.6133,1.6145,1.6178,1.6082,-0.11
12\08\1999,1.6111,1.6114,1.613,1.6058,-0.14
